cell_id,model,seed,target,method,policy,alpha,selected_fraction,corrected_calibration_risk,fallback_full,n_calibration,n_test,risk,mean_atom_fraction,precision,iou,tie_inflation,equal_size_random_risk,reference_first_schedule_risk,fixed_20_risk,fixed_20_mean_atom_fraction,fixed_20_precision,fixed_20_iou,fixed_50_risk,fixed_50_mean_atom_fraction,fixed_50_precision,fixed_50_iou
liver__gcn__seed123,gcn,123,observed_class,atom_occlusion,index_tiebreak_v1,0.2,0.8300000000000001,0.1876088444427545,False,33,31,0.2497833707511126,0.8555840841239667,0.2620205784305389,0.2479643166462628,0.0,0.1444159158760332,0.0,0.8101638504864314,0.2205405425670831,0.2570660522273426,0.12421246457749,0.5738410335184526,0.5168316543735149,0.2533660283423091,0.1916172772709275
liver__gcn__seed123,gcn,123,observed_class,atom_occlusion,include_all_exact_ties_v2,0.05,0.95,0.0483903063487838,False,33,31,0.0535074244751664,0.9738696534249016,0.2702789741333004,0.2675698033675489,0.0,0.0261303465750981,0.0,0.7886584741423454,0.2291969083391984,0.2656682027649769,0.1363092387710384,0.5738410335184526,0.5168316543735149,0.2533660283423091,0.1916172772709275
liver__gcn__seed123,gcn,123,observed_class,atom_occlusion,include_all_exact_ties_v2,0.1,0.88,0.0958361851527941,False,33,31,0.1639489542715349,0.9067384790260048,0.2666011716773356,0.2589153553224705,0.0,0.093261520973995,0.0,0.7886584741423454,0.2291969083391984,0.2656682027649769,0.1363092387710384,0.5738410335184526,0.5168316543735149,0.2533660283423091,0.1916172772709275
liver__gcn__seed123,gcn,123,observed_class,atom_occlusion,include_all_exact_ties_v2,0.2,0.8300000000000001,0.1834071637704856,False,33,31,0.2461991413604317,0.8567788272541937,0.2629555947933253,0.249254639226908,0.001194743130227,0.1432211727458062,0.0,0.7886584741423454,0.2291969083391984,0.2656682027649769,0.1363092387710384,0.5738410335184526,0.5168316543735149,0.2533660283423091,0.1916172772709275
liver__gcn__seed123,gcn,123,hepatotoxic_class,gradinput,index_tiebreak_v1,0.05,0.95,0.0429560059317844,False,33,31,0.003584229390681,0.9738696534249016,0.2774929860692988,0.2768138689215909,0.0,0.0261303465750981,0.0,0.7698511166253104,0.2205405425670831,0.2859447004608295,0.1399308524071332,0.492240734176218,0.5168316543735149,0.2655579714403244,0.2033807551339108
liver__gcn__seed123,gcn,123,hepatotoxic_class,gradinput,index_tiebreak_v1,0.1,0.88,0.0961855330367441,False,33,31,0.0735259364291622,0.9067384790260048,0.2783453414860216,0.2737091443861393,0.0,0.093261520973995,0.0,0.7698511166253104,0.2205405425670831,0.2859447004608295,0.1399308524071332,0.492240734176218,0.5168316543735149,0.2655579714403244,0.2033807551339108
liver__gcn__seed123,gcn,123,hepatotoxic_class,gradinput,index_tiebreak_v1,0.2,0.77,0.1930702371446316,False,33,31,0.2118338650596715,0.7969036435440862,0.274159799390891,0.2557309725327172,0.0,0.2030963564559141,0.0,0.7698511166253104,0.2205405425670831,0.2859447004608295,0.1399308524071332,0.492240734176218,0.5168316543735149,0.2655579714403244,0.2033807551339108
liver__gcn__seed123,gcn,123,hepatotoxic_class,gradinput,include_all_exact_ties_v2,0.05,0.95,0.0429560059317844,False,33,31,0.003584229390681,0.975482556650708,0.2763045310608098,0.2756254139131019,0.0016129032258064,0.0245174433492917,0.0,0.7698511166253104,0.2308767351463597,0.2774961597542242,0.1326639257853679,0.470735357832132,0.5214619985624329,0.2694830785912379,0.2077570240263087
liver__gcn__seed123,gcn,123,hepatotoxic_class,gradinput,include_all_exact_ties_v2,0.1,0.88,0.0961855330367441,False,33,31,0.0699417070384812,0.9137976816921688,0.2784186826504443,0.2742125930774438,0.0070592026661636,0.0862023183078313,0.0,0.7698511166253104,0.2308767351463597,0.2774961597542242,0.1326639257853679,0.470735357832132,0.5214619985624329,0.2694830785912379,0.2077570240263087
liver__gcn__seed123,gcn,123,hepatotoxic_class,gradinput,include_all_exact_ties_v2,0.2,0.76,0.1791562099953103,False,33,31,0.1974969474969475,0.7997521366772092,0.2778528494055374,0.2609713565868933,0.0140191946643559,0.200247863322791,0.0,0.7698511166253104,0.2308767351463597,0.2774961597542242,0.1326639257853679,0.470735357832132,0.5214619985624329,0.2694830785912379,0.2077570240263087
