method,score_origin,grid,alpha,family,task,risk,mean_atom_fraction,precision,iou
ig,P01_checkpoint_rerun,machine,0.1,bxaic,indole,0.09528158326096581,0.6882862041782442,0.4120362689432282,0.3924011945697548
ig,P01_checkpoint_rerun,machine,0.1,bxaic,rings-count,0.09476755686646117,0.9055041791156205,0.6437879345081265,0.6063985818010641
ig,P01_checkpoint_rerun,machine,0.1,bxaic,rings-max,0.09141692457405988,0.9244126466079479,0.26493969518143407,0.2580700205015196
ig,P01_checkpoint_rerun,machine,0.1,google,benzene,0.09982601649268313,0.6160903116491832,0.5506357255196261,0.5118202989765701
ig,P01_checkpoint_rerun,machine,0.1,google,logic10,0.09853045020455714,0.8018045505480559,0.5646969101728699,0.5317032480893534
ig,P01_checkpoint_rerun,machine,0.1,google,logic7,0.07259371833839916,0.7256785571055125,0.257984850607834,0.2535543786638046
ig,P01_checkpoint_rerun,machine,0.1,google,logic8,0.07925613537026568,0.8859081404128774,0.3184758622469542,0.31019172933272793
ig,P01_checkpoint_rerun,machine,0.2,bxaic,B,0.0290519877675841,0.0386003571497199,0.9908256880733944,0.9617737003058103
ig,P01_checkpoint_rerun,machine,0.2,bxaic,P,0.1266319679767033,0.0347549874610955,0.9924242424242423,0.8663147404872463
ig,P01_checkpoint_rerun,machine,0.2,bxaic,PAINS,0.19598724215703225,0.684800332453093,0.40001577380133274,0.35973754309229394
ig,P01_checkpoint_rerun,machine,0.2,bxaic,X,0.19828389187000148,0.0432521799187035,0.9242174580675643,0.7259926259660473
ig,P01_checkpoint_rerun,machine,0.2,bxaic,indole,0.19225207865119343,0.5057574583387839,0.49569183468180733,0.4362952110052463
ig,P01_checkpoint_rerun,machine,0.2,bxaic,rings-count,0.1979318612813125,0.8104648636466631,0.6411520512636838,0.561950829290543
ig,P01_checkpoint_rerun,machine,0.2,bxaic,rings-max,0.19160747284067156,0.8138037235263229,0.2680158461186002,0.2521521652021334
ig,P01_checkpoint_rerun,machine,0.2,google,benzene,0.20104644988904233,0.49183142430229787,0.6103001521983004,0.5212555736475707
ig,P01_checkpoint_rerun,machine,0.2,google,logic10,0.19711190347351057,0.6423797626289628,0.6216547586886346,0.5408470713242869
ig,P01_checkpoint_rerun,machine,0.2,google,logic7,0.1548252279635258,0.552471880755247,0.3151511918795036,0.29933943542150887
ig,P01_checkpoint_rerun,machine,0.2,google,logic8,0.18919412159901275,0.7703418152360899,0.32744244362499986,0.30501240302614036
saliency,P20_frozen_cache,exact_integer,0.05,bxaic,B,0.034658511722731884,0.17140015660798472,0.2907059010587195,0.29050202746035053
saliency,P20_frozen_cache,exact_integer,0.05,bxaic,P,0.050234158449168544,0.07513513250891343,0.552372345799058,0.530694066336803
