grid,alpha,left,right,metric,mean_delta,q025,q975,negative_cells,positive_cells,ties,interval_scope
machine,0.2,ig,saliency,risk,-0.008375067109404624,-0.02896041438282679,0.0087830504675137,36,30,0,descriptive 11 observed tasks from two dependent families
machine,0.2,ig,saliency,mean_atom_fraction,-0.018713056399434172,-0.10881943086005104,0.05160060803842155,30,25,11,descriptive 11 observed tasks from two dependent families
machine,0.2,ig,saliency,precision,0.08211784275172009,-0.02498893742242802,0.2154165485825314,26,40,0,descriptive 11 observed tasks from two dependent families
machine,0.2,ig,saliency,iou,0.06539084459721357,-0.01724815379669139,0.16386337751911537,27,39,0,descriptive 11 observed tasks from two dependent families
machine,0.2,gradinput,atom_occlusion,risk,-0.004517686412030896,-0.009990660194585596,0.0005856661901427692,31,21,14,descriptive 11 observed tasks from two dependent families
machine,0.2,gradinput,atom_occlusion,mean_atom_fraction,0.1751124525583929,0.09732416654953469,0.2600694169271035,1,44,21,descriptive 11 observed tasks from two dependent families
machine,0.2,gradinput,atom_occlusion,precision,-0.13220192461691418,-0.20292018735719236,-0.0721653603938013,51,1,14,descriptive 11 observed tasks from two dependent families
machine,0.2,gradinput,atom_occlusion,iou,-0.10206741938478246,-0.1555127944657815,-0.056462251138103194,52,0,14,descriptive 11 observed tasks from two dependent families
machine,0.2,gradinput,saliency,risk,-0.013290521392561178,-0.0331503729815306,0.004239290986842503,47,19,0,descriptive 11 observed tasks from two dependent families
machine,0.2,gradinput,saliency,mean_atom_fraction,0.06343078037859734,-0.006657041572437582,0.13261750204532965,24,32,10,descriptive 11 observed tasks from two dependent families
machine,0.2,gradinput,saliency,precision,0.04063150543926807,-0.07066013315944918,0.17459244565913767,33,33,0,descriptive 11 observed tasks from two dependent families
machine,0.2,gradinput,saliency,iou,0.033609265687831374,-0.05363681429311997,0.13534120632815244,34,32,0,descriptive 11 observed tasks from two dependent families
machine,0.2,atom_occlusion,saliency,risk,-0.008772834980530282,-0.030626072143165727,0.012507972754915086,37,29,0,descriptive 11 observed tasks from two dependent families
machine,0.2,atom_occlusion,saliency,mean_atom_fraction,-0.11168167217979554,-0.2021902194432717,-0.03868735179018833,48,6,12,descriptive 11 observed tasks from two dependent families
machine,0.2,atom_occlusion,saliency,precision,0.1728334300561823,0.08103645546419655,0.28917439462017525,7,59,0,descriptive 11 observed tasks from two dependent families
machine,0.2,atom_occlusion,saliency,iou,0.13567668507261385,0.06580795655721113,0.21956575803201417,8,58,0,descriptive 11 observed tasks from two dependent families
