cell_id,family,task,model,seed,method,score_origin,alpha,historical_q,current_q,q_change,delta_risk,delta_mean_atom_fraction,delta_precision,delta_iou
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,ig,P01_checkpoint_rerun,0.1,68,68,0,1.4988010832439613e-15,3.552713678800501e-15,1.942890293094024e-15,1.7208456881689926e-15
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,ig,P01_checkpoint_rerun,0.2,55,55,0,-5.551115123125783e-17,-1.2212453270876722e-15,2.55351295663786e-15,1.7208456881689926e-15
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,gradinput,P01_checkpoint_rerun,0.05,83,83,0,7.632783294297951e-16,-6.772360450213455e-15,1.4988010832439613e-15,2.05391259555654e-15
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,gradinput,P01_checkpoint_rerun,0.1,69,69,0,1.7486012637846217e-15,5.10702591327572e-15,2.4424906541753444e-15,2.4980018054066026e-15
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,gradinput,P01_checkpoint_rerun,0.2,51,51,0,-7.771561172376097e-16,-4.329869796038111e-15,2.1649348980190556e-15,2.220446049250313e-15
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,atom_occlusion,P20_frozen_cache,0.05,64,64,0,0.0,0.0,0.0,0.0
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,atom_occlusion,P20_frozen_cache,0.1,54,54,0,0.0,0.0,0.0,0.0
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,atom_occlusion,P20_frozen_cache,0.2,41,41,0,0.0,0.0,0.0,0.0
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,saliency,P20_frozen_cache,0.05,92,92,0,0.0,0.0,0.0,0.0
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,saliency,P20_frozen_cache,0.1,86,86,0,0.0,0.0,0.0,0.0
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,saliency,P20_frozen_cache,0.2,73,73,0,0.0,0.0,0.0,0.0
bxaic__indole__gin__seed123,bxaic,indole,gin,123,ig,P01_checkpoint_rerun,0.05,69,69,0,4.787836793695989e-16,5.10702591327572e-15,1.7763568394002505e-15,2.275957200481571e-15
bxaic__indole__gin__seed123,bxaic,indole,gin,123,ig,P01_checkpoint_rerun,0.1,55,55,0,1.304512053934559e-15,-1.2212453270876722e-15,1.942890293094024e-15,2.4424906541753444e-15
bxaic__indole__gin__seed123,bxaic,indole,gin,123,ig,P01_checkpoint_rerun,0.2,39,39,0,-5.551115123125783e-17,-3.6637359812630166e-15,2.4424906541753444e-15,1.5543122344752194e-15
bxaic__indole__gin__seed123,bxaic,indole,gin,123,gradinput,P01_checkpoint_rerun,0.05,96,96,0,7.424616477180734e-16,6.994405055138486e-15,1.609823385706477e-15,1.3322676295501878e-15
