method,score_origin,grid,split,q,nominal_fraction,risk,mean_atom_fraction,precision,iou
atom_occlusion,P20_frozen_cache,exact_integer,test,50,0.5,0.16461403494489069,0.5094956939082281,0.40716432154090004,0.35504055883243296
atom_occlusion,P20_frozen_cache,exact_integer,test,51,0.51,0.15390259896041128,0.5299123034371523,0.40003637963067346,0.35269375115874596
atom_occlusion,P20_frozen_cache,exact_integer,test,52,0.52,0.15138076475480391,0.53567224485109,0.39877438864205744,0.3522715040755457
atom_occlusion,P20_frozen_cache,exact_integer,test,53,0.53,0.14374500942408136,0.5511786853497651,0.39237816668935516,0.34928466764711324
atom_occlusion,P20_frozen_cache,exact_integer,test,54,0.54,0.14096427111864332,0.557139401899669,0.3909965737507275,0.34894189864977065
atom_occlusion,P20_frozen_cache,exact_integer,test,55,0.55,0.13551157503610875,0.5686457334225209,0.3871928637762744,0.3471642025839134
atom_occlusion,P20_frozen_cache,exact_integer,test,56,0.56,0.1316912726699289,0.5771780086302899,0.3846851367501536,0.34636800400676016
atom_occlusion,P20_frozen_cache,exact_integer,test,57,0.57,0.1267908217962466,0.5886523859520247,0.38044546584911954,0.34387352099518476
atom_occlusion,P20_frozen_cache,exact_integer,test,58,0.58,0.12245529948189593,0.5987363943186399,0.3773351362873958,0.3425316025681511
atom_occlusion,P20_frozen_cache,exact_integer,test,59,0.59,0.11858890184301522,0.60831384896862,0.37428998954499654,0.34089579862638075
atom_occlusion,P20_frozen_cache,exact_integer,test,60,0.6,0.11601037490823017,0.6155517662826564,0.37210098385651313,0.3396502948601955
atom_occlusion,P20_frozen_cache,exact_integer,test,61,0.61,0.10989604451461926,0.6304335625589225,0.3671113393280359,0.3366935922252974
atom_occlusion,P20_frozen_cache,exact_integer,test,62,0.62,0.10625787938711316,0.6391933574294727,0.3646375792191243,0.3356649251482269
atom_occlusion,P20_frozen_cache,exact_integer,test,63,0.63,0.10248703687771267,0.6490924940538244,0.3619322782030851,0.33416331766869395
atom_occlusion,P20_frozen_cache,exact_integer,test,64,0.64,0.09927099218689721,0.6582858740332684,0.35920080611272576,0.3326668134535369
atom_occlusion,P20_frozen_cache,exact_integer,test,65,0.65,0.09538520831319246,0.6678869587517662,0.3565927533952001,0.3312954807532806
atom_occlusion,P20_frozen_cache,exact_integer,test,66,0.66,0.09133022352136987,0.6790963654904839,0.35345187102068976,0.3294854171743198
atom_occlusion,P20_frozen_cache,exact_integer,test,67,0.67,0.0862323259058258,0.6919998829666608,0.34979137636782287,0.3274683188939196
atom_occlusion,P20_frozen_cache,exact_integer,test,68,0.68,0.08460241808188199,0.6961088093176551,0.34913426642916734,0.32728692813202537
atom_occlusion,P20_frozen_cache,exact_integer,test,69,0.69,0.07954795115891909,0.7101029512358169,0.34510859374728564,0.3247574381072618
atom_occlusion,P20_frozen_cache,exact_integer,test,70,0.7,0.07703753215942678,0.7173308659348852,0.3432057737117273,0.3236153859806039
atom_occlusion,P20_frozen_cache,exact_integer,test,71,0.71,0.07255120934302081,0.7304060254499776,0.3396958899082918,0.32142635890694554
atom_occlusion,P20_frozen_cache,exact_integer,test,72,0.72,0.06992700680676472,0.7378841497959935,0.3379524603145206,0.320465260219588
atom_occlusion,P20_frozen_cache,exact_integer,test,73,0.73,0.06614381717150665,0.7503238550922391,0.3345022074504839,0.3181589421840402
atom_occlusion,P20_frozen_cache,exact_integer,test,74,0.74,0.0628815019938599,0.7602366851487699,0.3320131622440752,0.31659174336856244
atom_occlusion,P20_frozen_cache,exact_integer,test,75,0.75,0.06167112512841858,0.7638299623387016,0.33150106431677445,0.3164346535193181
atom_occlusion,P20_frozen_cache,exact_integer,test,76,0.76,0.057355403934349285,0.7771710950645028,0.32820902895628734,0.3143624589748311
atom_occlusion,P20_frozen_cache,exact_integer,test,77,0.77,0.05380439106799961,0.7893354649652383,0.32503662143536194,0.3122255693271918
atom_occlusion,P20_frozen_cache,exact_integer,test,78,0.78,0.05084665872111293,0.7986204688811724,0.32290603988855177,0.31088656374684004
atom_occlusion,P20_frozen_cache,exact_integer,test,79,0.79,0.047811919194974684,0.808864535251867,0.3204206307711485,0.30920581298797206
atom_occlusion,P20_frozen_cache,exact_integer,test,80,0.8,0.04612033211791751,0.8155131909273813,0.31883200815709073,0.30806514230024984
atom_occlusion,P20_frozen_cache,exact_integer,test,81,0.81,0.04174140832732311,0.8302235316983779,0.31526998633219,0.30562435763149415
atom_occlusion,P20_frozen_cache,exact_integer,test,82,0.82,0.03902040749058924,0.8397071225463635,0.31328156808561586,0.3042633850161802
atom_occlusion,P20_frozen_cache,exact_integer,test,83,0.83,0.036527579033216434,0.849268340046191,0.3112120429661635,0.3028276615598175
atom_occlusion,P20_frozen_cache,exact_integer,test,84,0.84,0.034096741755732254,0.8579757519523152,0.30920505752031585,0.30141163735498155
