cell_id,family,task,model,seed,method,score_origin,alpha,q,risk,mean_atom_fraction,precision,iou
bxaic__P__gcn__seed123,bxaic,P,gcn,123,atom_occlusion,P20_historical,0.05,4,0.0423878015155905,0.0560134724761789,0.7105022850712505,0.6681144835556599
bxaic__P__gcn__seed123,bxaic,P,gcn,123,atom_occlusion,P20_historical,0.1,2,0.1097649062474804,0.0365457382575857,0.9612068965517244,0.851441990304244
bxaic__P__gcn__seed123,bxaic,P,gcn,123,atom_occlusion,P20_historical,0.2,1,0.1261095019369959,0.0347549874610955,0.9929467084639498,0.8668372065269537
bxaic__P__gcn__seed123,bxaic,P,gcn,123,saliency,P20_historical,0.05,6,0.0348820719510374,0.0772656620816479,0.5266535353773433,0.5115206797272466
bxaic__P__gcn__seed123,bxaic,P,gcn,123,saliency,P20_historical,0.1,4,0.0709928171895717,0.0560134724761789,0.681244186847635,0.6434018398774991
bxaic__P__gcn__seed123,bxaic,P,gcn,123,saliency,P20_historical,0.2,1,0.1735232950404442,0.0347549874610955,0.9349529780564264,0.8194234134235057
bxaic__P__gcn__seed2026,bxaic,P,gcn,2026,ig,P01_historical,0.05,4,0.0423878015155905,0.0560134724761788,0.7105022850712506,0.6681144835556599
bxaic__P__gcn__seed2026,bxaic,P,gcn,2026,ig,P01_historical,0.1,2,0.1097649062474804,0.0365457382575857,0.961206896551724,0.8514419903042437
bxaic__P__gcn__seed2026,bxaic,P,gcn,2026,ig,P01_historical,0.2,1,0.1261095019369959,0.0347549874610954,0.9929467084639498,0.8668372065269538
bxaic__P__gcn__seed2026,bxaic,P,gcn,2026,gradinput,P01_historical,0.05,4,0.0423878015155905,0.0560134724761788,0.7105022850712506,0.6681144835556599
bxaic__P__gcn__seed2026,bxaic,P,gcn,2026,gradinput,P01_historical,0.1,2,0.1097649062474804,0.0365457382575857,0.961206896551724,0.8514419903042437
bxaic__P__gcn__seed2026,bxaic,P,gcn,2026,gradinput,P01_historical,0.2,1,0.1261095019369959,0.0347549874610954,0.9929467084639498,0.8668372065269538
bxaic__P__gcn__seed2026,bxaic,P,gcn,2026,atom_occlusion,P20_historical,0.05,4,0.0423878015155905,0.0560134724761789,0.7105022850712505,0.6681144835556599
bxaic__P__gcn__seed2026,bxaic,P,gcn,2026,atom_occlusion,P20_historical,0.1,2,0.1097649062474804,0.0365457382575857,0.9612068965517244,0.851441990304244
bxaic__P__gcn__seed2026,bxaic,P,gcn,2026,atom_occlusion,P20_historical,0.2,1,0.1261095019369959,0.0347549874610955,0.9929467084639498,0.8668372065269537
bxaic__P__gcn__seed2026,bxaic,P,gcn,2026,saliency,P20_historical,0.05,9,0.0598932676518883,0.1069868638561791,0.3778979476316254,0.374901231703875
bxaic__P__gcn__seed2026,bxaic,P,gcn,2026,saliency,P20_historical,0.1,7,0.1028026571130019,0.0876095521611401,0.4377302972420191,0.4287538330931414
bxaic__P__gcn__seed2026,bxaic,P,gcn,2026,saliency,P20_historical,0.2,4,0.2103784446237885,0.0560134724761789,0.5851757437964332,0.5433543429647983
bxaic__P__gcn__seed42,bxaic,P,gcn,42,ig,P01_historical,0.05,4,0.0423878015155905,0.0560134724761788,0.7105022850712506,0.6681144835556599
