dataset,seed,method,proxy,n_calibration_pairs,n_calibration_components,max_pairs_per_calibration_component,minimum_components_alpha_0_10,component_crc_numerically_feasible,component_crc_fraction,component_calibration_empirical_risk,component_calibration_corrected_risk,pair_crc_descriptive_fraction,pair_calibration_empirical_risk,pair_calibration_corrected_risk,fallback_when_infeasible,guarantee
CHEMBL234_Ki,29,integrated_gradients,variable_only_symmetry_closed,64,7,57,9,False,,,,0.93,0.07756428125444498,0.09175560000437658,pair_crc_descriptive_finite_pool_only,none; clustered retrospective stress test
CHEMBL234_Ki,29,integrated_gradients,one_hop_expanded_symmetry_closed,64,7,57,9,False,,,,0.92,0.07826073166845732,0.09244133579663487,pair_crc_descriptive_finite_pool_only,none; clustered retrospective stress test
CHEMBL234_Ki,43,atom_occlusion,main_variable_plus_attachment_symmetry_closed,64,7,57,9,False,,,,0.88,0.08298415029362939,0.09709208644295812,pair_crc_descriptive_finite_pool_only,none; clustered retrospective stress test
CHEMBL234_Ki,43,atom_occlusion,variable_only_symmetry_closed,64,7,57,9,False,,,,0.89,0.08316354348361958,0.09726871973771771,pair_crc_descriptive_finite_pool_only,none; clustered retrospective stress test
CHEMBL234_Ki,43,atom_occlusion,one_hop_expanded_symmetry_closed,64,7,57,9,False,,,,0.9,0.07737472973937545,0.09156896466646199,pair_crc_descriptive_finite_pool_only,none; clustered retrospective stress test
CHEMBL234_Ki,43,integrated_gradients,main_variable_plus_attachment_symmetry_closed,64,7,57,9,False,,,,0.91,0.08592747080691168,0.09999012510218996,pair_crc_descriptive_finite_pool_only,none; clustered retrospective stress test
CHEMBL234_Ki,43,integrated_gradients,variable_only_symmetry_closed,64,7,57,9,False,,,,0.92,0.07180684258236371,0.08608673731186581,pair_crc_descriptive_finite_pool_only,none; clustered retrospective stress test
CHEMBL234_Ki,43,integrated_gradients,one_hop_expanded_symmetry_closed,64,7,57,9,False,,,,0.91,0.0823429617425907,0.09646076233116621,pair_crc_descriptive_finite_pool_only,none; clustered retrospective stress test
CHEMBL235_EC50,17,atom_occlusion,main_variable_plus_attachment_symmetry_closed,30,9,7,9,True,0.99,0.0,0.1,0.9400000000000001,0.06435998388584595,0.09454191988952834,not_needed,none; clustered retrospective stress test
CHEMBL235_EC50,17,atom_occlusion,variable_only_symmetry_closed,30,9,7,9,True,0.99,0.0,0.1,0.93,0.06483146483146483,0.09499819177238532,not_needed,none; clustered retrospective stress test
CHEMBL235_EC50,17,atom_occlusion,one_hop_expanded_symmetry_closed,30,9,7,9,True,0.99,0.0,0.1,0.93,0.06395192899062868,0.09414702805544713,not_needed,none; clustered retrospective stress test
CHEMBL235_EC50,17,integrated_gradients,main_variable_plus_attachment_symmetry_closed,30,9,7,9,True,0.99,0.0,0.1,0.92,0.061449757139412316,0.09172557142523771,not_needed,none; clustered retrospective stress test
CHEMBL235_EC50,17,integrated_gradients,variable_only_symmetry_closed,30,9,7,9,True,0.99,0.0,0.1,0.9400000000000001,0.05472459639126306,0.08521735134638361,not_needed,none; clustered retrospective stress test
CHEMBL235_EC50,17,integrated_gradients,one_hop_expanded_symmetry_closed,30,9,7,9,True,0.99,0.0,0.1,0.91,0.06430001772107036,0.09448388811716485,not_needed,none; clustered retrospective stress test
CHEMBL235_EC50,29,atom_occlusion,main_variable_plus_attachment_symmetry_closed,30,9,7,9,True,0.99,0.0,0.1,0.9400000000000001,0.05653635326809769,0.08697066445299775,not_needed,none; clustered retrospective stress test
CHEMBL235_EC50,29,atom_occlusion,variable_only_symmetry_closed,30,9,7,9,True,0.99,0.0,0.1,0.9400000000000001,0.0662570145903479,0.09637775605517537,not_needed,none; clustered retrospective stress test
CHEMBL235_EC50,29,atom_occlusion,one_hop_expanded_symmetry_closed,30,9,7,9,True,0.99,0.0,0.1,0.93,0.06407720132178336,0.09426825934366133,not_needed,none; clustered retrospective stress test
CHEMBL235_EC50,29,integrated_gradients,main_variable_plus_attachment_symmetry_closed,30,9,7,9,True,0.99,0.0,0.1,0.9500000000000001,0.05873025141787818,0.08909379169472083,not_needed,none; clustered retrospective stress test
CHEMBL235_EC50,29,integrated_gradients,variable_only_symmetry_closed,30,9,7,9,True,0.99,0.0,0.1,0.9400000000000001,0.05753171211504544,0.08793391495004398,not_needed,none; clustered retrospective stress test
CHEMBL235_EC50,29,integrated_gradients,one_hop_expanded_symmetry_closed,30,9,7,9,True,0.99,0.0,0.1,0.9500000000000001,0.05289940165327162,0.0834510338580048,not_needed,none; clustered retrospective stress test
CHEMBL235_EC50,43,atom_occlusion,main_variable_plus_attachment_symmetry_closed,30,9,7,9,True,0.99,0.0,0.1,0.92,0.06668316442403664,0.09679015912003545,not_needed,none; clustered retrospective stress test
CHEMBL235_EC50,43,atom_occlusion,variable_only_symmetry_closed,30,9,7,9,True,0.99,0.0,0.1,0.92,0.06363272529939194,0.09383812125747608,not_needed,none; clustered retrospective stress test
CHEMBL235_EC50,43,atom_occlusion,one_hop_expanded_symmetry_closed,30,9,7,9,True,0.99,0.0,0.1,0.92,0.06486745681792122,0.09503302272702054,not_needed,none; clustered retrospective stress test
CHEMBL235_EC50,43,integrated_gradients,main_variable_plus_attachment_symmetry_closed,30,9,7,9,True,0.99,0.0,0.1,0.9400000000000001,0.05925016160310278,0.08959693058364784,not_needed,none; clustered retrospective stress test
CHEMBL235_EC50,43,integrated_gradients,variable_only_symmetry_closed,30,9,7,9,True,0.99,0.0,0.1,0.9400000000000001,0.06332223332223332,0.09353764515054838,not_needed,none; clustered retrospective stress test
CHEMBL235_EC50,43,integrated_gradients,one_hop_expanded_symmetry_closed,30,9,7,9,True,0.99,0.0,0.1,0.93,0.06393532851737187,0.09413096308132761,not_needed,none; clustered retrospective stress test
CHEMBL236_Ki,17,atom_occlusion,main_variable_plus_attachment_symmetry_closed,33,7,14,9,False,,,,0.89,0.067802651893561,0.09522022095551505,pair_crc_descriptive_finite_pool_only,none; clustered retrospective stress test
CHEMBL236_Ki,17,atom_occlusion,variable_only_symmetry_closed,33,7,14,9,False,,,,0.9,0.06774622683713595,0.09516545545957313,pair_crc_descriptive_finite_pool_only,none; clustered retrospective stress test
CHEMBL236_Ki,17,atom_occlusion,one_hop_expanded_symmetry_closed,33,7,14,9,False,,,,0.9,0.06618771092455303,0.0936527782503015,pair_crc_descriptive_finite_pool_only,none; clustered retrospective stress test
CHEMBL236_Ki,17,integrated_gradients,main_variable_plus_attachment_symmetry_closed,33,7,14,9,False,,,,0.93,0.07225119292567972,0.09953792254551269,pair_crc_descriptive_finite_pool_only,none; clustered retrospective stress test
CHEMBL236_Ki,17,integrated_gradients,variable_only_symmetry_closed,33,7,14,9,False,,,,0.9500000000000001,0.04178155236148966,0.06996444788026937,pair_crc_descriptive_finite_pool_only,none; clustered retrospective stress test
CHEMBL236_Ki,17,integrated_gradients,one_hop_expanded_symmetry_closed,33,7,14,9,False,,,,0.93,0.06373057028137241,0.09126790644956734,pair_crc_descriptive_finite_pool_only,none; clustered retrospective stress test
CHEMBL236_Ki,29,atom_occlusion,main_variable_plus_attachment_symmetry_closed,33,7,14,9,False,,,,0.9400000000000001,0.06030294892464981,0.08794109748568951,pair_crc_descriptive_finite_pool_only,none; clustered retrospective stress test
CHEMBL236_Ki,29,atom_occlusion,variable_only_symmetry_closed,33,7,14,9,False,,,,0.9500000000000001,0.0672597806133311,0.09469331647764491,pair_crc_descriptive_finite_pool_only,none; clustered retrospective stress test
CHEMBL236_Ki,29,atom_occlusion,one_hop_expanded_symmetry_closed,33,7,14,9,False,,,,0.93,0.0617981874619458,0.0893923584189474,pair_crc_descriptive_finite_pool_only,none; clustered retrospective stress test
CHEMBL236_Ki,29,integrated_gradients,main_variable_plus_attachment_symmetry_closed,33,7,14,9,False,,,,0.91,0.05570456750808657,0.08347796258137813,pair_crc_descriptive_finite_pool_only,none; clustered retrospective stress test
CHEMBL236_Ki,29,integrated_gradients,variable_only_symmetry_closed,33,7,14,9,False,,,,0.91,0.06333165267334548,0.09088072171236472,pair_crc_descriptive_finite_pool_only,none; clustered retrospective stress test
CHEMBL236_Ki,29,integrated_gradients,one_hop_expanded_symmetry_closed,33,7,14,9,False,,,,0.89,0.06426201169024134,0.09178371722876366,pair_crc_descriptive_finite_pool_only,none; clustered retrospective stress test
