method,proxy,policy,aggregation,metric,target_macro_mean,bootstrap_ci_low,bootstrap_ci_high,n_targets
atom_occlusion,variable_only_symmetry_closed,pair_crc_descriptive,component_weighted,risk,0.08488533094744093,0.06678723882290655,0.10793948762951426,11
atom_occlusion,variable_only_symmetry_closed,pair_crc_descriptive,component_weighted,retained_fraction,0.9149734562282259,0.8968308320719321,0.9311035194759166,11
atom_occlusion,variable_only_symmetry_closed,pair_crc_descriptive,component_weighted,precision,0.21370408619272868,0.1874873181753484,0.2396529776228719,11
atom_occlusion,variable_only_symmetry_closed,pair_crc_descriptive,component_weighted,iou,0.20921457272109698,0.18404028710373,0.23424636589641382,11
atom_occlusion,variable_only_symmetry_closed,pair_crc_descriptive,pair_weighted,risk,0.08404112313339546,0.07009463989650812,0.10015292857408807,11
atom_occlusion,variable_only_symmetry_closed,pair_crc_descriptive,pair_weighted,retained_fraction,0.9146666673939826,0.8956783722519613,0.9304004900819646,11
atom_occlusion,variable_only_symmetry_closed,pair_crc_descriptive,pair_weighted,precision,0.2132523175772809,0.19372170454088833,0.23275643889516118,11
atom_occlusion,variable_only_symmetry_closed,pair_crc_descriptive,pair_weighted,iou,0.20889918099636223,0.19024974418463703,0.22747762424278406,11
atom_occlusion,variable_only_symmetry_closed,random_same_nominal_size,component_weighted,risk,0.08726631887180812,0.07143174597663164,0.10711740823003331,11
atom_occlusion,variable_only_symmetry_closed,random_same_nominal_size,component_weighted,retained_fraction,0.9127336811281919,0.8928825917699669,0.9285682540233684,11
atom_occlusion,variable_only_symmetry_closed,random_same_nominal_size,component_weighted,precision,0.21101189671729487,0.1876744525132739,0.23416385807139378,11
atom_occlusion,variable_only_symmetry_closed,random_same_nominal_size,component_weighted,iou,0.20522424157071864,0.1837877048877857,0.22661289404364016,11
atom_occlusion,variable_only_symmetry_closed,random_same_nominal_size,pair_weighted,risk,0.08756771148325122,0.07183211252727786,0.10670983600104841,11
atom_occlusion,variable_only_symmetry_closed,random_same_nominal_size,pair_weighted,retained_fraction,0.9124322885167487,0.8932901639989516,0.9281678874727222,11
atom_occlusion,variable_only_symmetry_closed,random_same_nominal_size,pair_weighted,precision,0.21066223695181804,0.19377367973142598,0.2265882168958537,11
atom_occlusion,variable_only_symmetry_closed,random_same_nominal_size,pair_weighted,iou,0.20512330208825824,0.18956072879629438,0.21967456204338323,11
integrated_gradients,main_variable_plus_attachment_symmetry_closed,component_crc_cluster_stress_test,component_weighted,risk,0.021647379133260678,0.010582309719844047,0.032288701038626376,7
integrated_gradients,main_variable_plus_attachment_symmetry_closed,component_crc_cluster_stress_test,component_weighted,retained_fraction,0.9781396878318073,0.9650970346955675,0.9906557544527373,7
integrated_gradients,main_variable_plus_attachment_symmetry_closed,component_crc_cluster_stress_test,component_weighted,precision,0.23659179800418223,0.21316014595952967,0.261903777264854,7
integrated_gradients,main_variable_plus_attachment_symmetry_closed,component_crc_cluster_stress_test,component_weighted,iou,0.23530731545324174,0.21236889089215769,0.2600247953681184,7
integrated_gradients,main_variable_plus_attachment_symmetry_closed,component_crc_cluster_stress_test,pair_weighted,risk,0.02486763823465773,0.013233723366722929,0.035892402602323424,7
integrated_gradients,main_variable_plus_attachment_symmetry_closed,component_crc_cluster_stress_test,pair_weighted,retained_fraction,0.9778499761980194,0.9643132921561055,0.9895862424750942,7
integrated_gradients,main_variable_plus_attachment_symmetry_closed,component_crc_cluster_stress_test,pair_weighted,precision,0.23327324177917538,0.212380319522781,0.2542087217873855,7
integrated_gradients,main_variable_plus_attachment_symmetry_closed,component_crc_cluster_stress_test,pair_weighted,iou,0.23193096754481646,0.21141173620374792,0.2525455848020779,7
integrated_gradients,main_variable_plus_attachment_symmetry_closed,fixed_20_percent,component_weighted,risk,0.7818536322637658,0.7447886051814927,0.8108128546922805,11
integrated_gradients,main_variable_plus_attachment_symmetry_closed,fixed_20_percent,component_weighted,retained_fraction,0.20878156214953422,0.20775293233181177,0.20980526797734864,11
integrated_gradients,main_variable_plus_attachment_symmetry_closed,fixed_20_percent,component_weighted,precision,0.24586302341502397,0.20427245682569425,0.29956371449838703,11
integrated_gradients,main_variable_plus_attachment_symmetry_closed,fixed_20_percent,component_weighted,iou,0.13499895392518768,0.11004828943132088,0.1718399835955816,11
integrated_gradients,main_variable_plus_attachment_symmetry_closed,fixed_20_percent,pair_weighted,risk,0.7798510060852369,0.742380367981366,0.8117374664191523,11
integrated_gradients,main_variable_plus_attachment_symmetry_closed,fixed_20_percent,pair_weighted,retained_fraction,0.20893656481641718,0.20796233303136752,0.2099449631952285,11
integrated_gradients,main_variable_plus_attachment_symmetry_closed,fixed_20_percent,pair_weighted,precision,0.24275770659032325,0.2021701924389707,0.29640338751440615,11
integrated_gradients,main_variable_plus_attachment_symmetry_closed,fixed_20_percent,pair_weighted,iou,0.13650787074702841,0.1091600087705199,0.1766461918547907,11
integrated_gradients,main_variable_plus_attachment_symmetry_closed,fixed_50_percent,component_weighted,risk,0.4964915661618129,0.4513842325498034,0.5304558870231969,11
integrated_gradients,main_variable_plus_attachment_symmetry_closed,fixed_50_percent,component_weighted,retained_fraction,0.5053733997847111,0.5047570141771315,0.5060168365606856,11
