cell_id,family,task,model,seed,method,origin,fraction,index,empirical_risk,corrected_risk,n_calibration,alpha,risk,mean_atom_fraction,precision,iou,tie_inflation,median_atom_fraction
bxaic__PAINS__gin__seed123,bxaic,PAINS,gin,123,saliency,fresh_full_partition,0.6900000000000001,69,0.09921458238690913,0.09976857095862712,1625,0.1,0.09828839789246757,0.7138521133498659,0.42577279755095165,0.4031300027735558,0.005136986710470533,0.7096774193548387
bxaic__PAINS__gin__seed2026,bxaic,PAINS,gin,2026,atom_occlusion,fresh_full_partition,0.64,64,0.09695651553336718,0.09751189283008731,1625,0.1,0.09886321971892778,0.6581613182508492,0.46159626387286373,0.43658291276983247,0.0009617184634424147,0.6551724137931034
bxaic__PAINS__gin__seed2026,bxaic,PAINS,gin,2026,saliency,fresh_full_partition,0.71,71,0.09906586553876384,0.09961994557225802,1625,0.1,0.09537518279319313,0.7345591112884019,0.41574324136833574,0.39519756216490026,0.005140658870942875,0.7307692307692307
bxaic__PAINS__gin__seed42,bxaic,PAINS,gin,42,atom_occlusion,fresh_full_partition,0.56,56,0.09663661258695791,0.09719218662595754,1625,0.1,0.09823263307972693,0.5810517191728224,0.5217022317110684,0.4910625484751993,0.0019668391646377424,0.5789473684210527
bxaic__PAINS__gin__seed42,bxaic,PAINS,gin,42,saliency,fresh_full_partition,0.66,66,0.0963202817531229,0.09687605033753079,1625,0.1,0.09655694370432455,0.6837173620620103,0.4453084839778593,0.4218253363567325,0.0050182945602672184,0.68
bxaic__rings-count__gcn__seed123,bxaic,rings-count,gcn,123,atom_occlusion,fresh_full_partition,0.88,88,0.09469020944139116,0.09487361904239519,4935,0.1,0.09335208463120398,0.8984238095877565,0.6501398061364222,0.6134634944557301,0.0017259555196655733,0.896551724137931
bxaic__rings-count__gcn__seed123,bxaic,rings-count,gcn,123,saliency,fresh_full_partition,0.87,87,0.09757912181250461,0.09776194613952723,4935,0.1,0.09789498566386017,0.8920678181222796,0.6487616705786898,0.6059755662215529,0.00431098477070544,0.8888888888888888
bxaic__rings-count__gcn__seed2026,bxaic,rings-count,gcn,2026,atom_occlusion,fresh_full_partition,0.89,89,0.09145119601754959,0.09163526182062473,4935,0.1,0.0931358238746197,0.9100514575813666,0.643830335346243,0.6095756431027196,0.001604345723476764,0.9090909090909091
bxaic__rings-count__gcn__seed2026,bxaic,rings-count,gcn,2026,saliency,fresh_full_partition,0.77,77,0.09824412295993198,0.09842681256224904,4935,0.1,0.09906280130547526,0.7927876700762307,0.7242841725374833,0.6671347868812947,0.004757704581281715,0.7884615384615384
bxaic__rings-count__gcn__seed42,bxaic,rings-count,gcn,42,atom_occlusion,fresh_full_partition,0.89,89,0.08970457215213723,0.089888991809318,4935,0.1,0.09066047744623872,0.9103039292048787,0.6448491627119944,0.6111418721795594,0.0018568173469890891,0.9090909090909091
bxaic__rings-count__gcn__seed42,bxaic,rings-count,gcn,42,saliency,fresh_full_partition,0.88,88,0.09953351251631637,0.0997159408970864,4935,0.1,0.09919017035737784,0.9052892821860247,0.6418053660601086,0.6024256072959849,0.008591428117933963,0.9
