cell_id,family,task,model,seed,method,origin,fraction,index,empirical_risk,corrected_risk,n_calibration,alpha,risk,mean_atom_fraction,precision,iou,tie_inflation,median_atom_fraction,random_atom_fraction,saving_vs_random
bxaic__PAINS__gcn__seed123,bxaic,PAINS,gcn,123,saliency,fresh_full_partition,0.85,85,0.09265046334417612,0.09320848888947508,1625,0.1,0.09168589614165702,0.8667805796968756,0.35490054425170997,0.3404343850352223,0.0,0.8648648648648649,0.9091218677307263,0.04234128803385073
bxaic__PAINS__gcn__seed123,bxaic,PAINS,gcn,123,ig,historical_full_partition,0.86,86,0.09159673083040551,0.09215540442768114,1625,0.1,0.08862644004046176,0.8782821505199192,0.35243900408036327,0.33872561193512424,,0.875,0.9091218677307263,0.030839717210807138
bxaic__PAINS__gcn__seed123,bxaic,PAINS,gcn,123,gradinput,historical_full_partition,0.89,89,0.09582300193169448,0.09637907634625087,1625,0.1,0.09576963674243961,0.9091218677307263,0.3433532474922704,0.33229304622082867,,0.9090909090909091,0.9091218677307263,0.0
bxaic__PAINS__gcn__seed2026,bxaic,PAINS,gcn,2026,atom_occlusion,fresh_full_partition,0.81,81,0.09572506853928621,0.09628120318348127,1625,0.1,0.09861865755539061,0.8288222076854092,0.3686365915415224,0.35266626466664636,0.0,0.8260869565217391,0.9091218677307263,0.08029966004531719
bxaic__PAINS__gcn__seed2026,bxaic,PAINS,gcn,2026,saliency,fresh_full_partition,0.8300000000000001,83,0.09457655760661236,0.09513339859209423,1625,0.1,0.09533576479048052,0.8488238590750994,0.36033195690770564,0.3450966403998563,0.0,0.8484848484848485,0.9091218677307263,0.060298008655626956
bxaic__PAINS__gcn__seed2026,bxaic,PAINS,gcn,2026,ig,historical_full_partition,0.8300000000000001,83,0.09944614842435752,0.09999999458153842,1625,0.1,0.09580133570717822,0.8488238590750994,0.3609632802117175,0.34493710985295656,,0.8484848484848485,0.9091218677307263,0.060298008655626956
bxaic__PAINS__gcn__seed2026,bxaic,PAINS,gcn,2026,gradinput,historical_full_partition,0.88,88,0.0982548865862512,0.0988094653767888,1625,0.1,0.09842741786539667,0.8975096610559893,0.34385010729944726,0.3312258666054371,,0.896551724137931,0.9091218677307263,0.011612206674737058
bxaic__PAINS__gcn__seed42,bxaic,PAINS,gcn,42,atom_occlusion,fresh_full_partition,0.79,79,0.09712511682966554,0.09768039043555155,1625,0.1,0.09816344683692313,0.8085992408466761,0.3778026367103881,0.3608810106723536,0.0,0.8076923076923077,0.8975096610559893,0.08891042020931317
bxaic__PAINS__gcn__seed42,bxaic,PAINS,gcn,42,saliency,fresh_full_partition,0.8200000000000001,82,0.09738632510618699,0.09794143806737649,1625,0.1,0.09383942973236858,0.8380970842735954,0.3650826927366627,0.34935923398235064,0.0,0.8365491651205936,0.8975096610559893,0.05941257678239387
bxaic__PAINS__gcn__seed42,bxaic,PAINS,gcn,42,ig,historical_full_partition,0.89,89,0.09517446042530586,0.09573093369687746,1625,0.1,0.09730453274525726,0.9091218677307263,0.34111928160404065,0.328711801357458,,0.9090909090909091,0.8975096610559893,-0.011612206674737058
bxaic__PAINS__gcn__seed42,bxaic,PAINS,gcn,42,gradinput,historical_full_partition,0.89,89,0.09819706622309624,0.0987516805735128,1625,0.1,0.09931977594233815,0.9091218677307263,0.33991158941548744,0.3281042733649751,,0.9090909090909091,0.8975096610559893,-0.011612206674737058
bxaic__PAINS__gin__seed123,bxaic,PAINS,gin,123,atom_occlusion,fresh_full_partition,0.63,63,0.0968861278992501,0.09744154848479802,1625,0.1,0.09826832938090312,0.6490092369616369,0.46562267492689274,0.4401962323501076,0.0,0.6470588235294118,0.9091218677307263,0.2601126307690894
bxaic__PAINS__gin__seed123,bxaic,PAINS,gin,123,saliency,fresh_full_partition,0.7000000000000001,70,0.09549336919420273,0.0960496463349199,1625,0.1,0.09426568502779352,0.719791635379394,0.4240285325484213,0.4024290984592657,0.0,0.71875,0.9091218677307263,0.1893302323513324
bxaic__PAINS__gin__seed123,bxaic,PAINS,gin,123,ig,historical_full_partition,0.8,80,0.09664695677779744,0.09720252445505605,1625,0.1,0.09777046625151047,0.8149319138164086,0.37331516964207756,0.3556918886306996,,0.813953488372093,0.9091218677307263,0.09418995391431773
bxaic__PAINS__gin__seed123,bxaic,PAINS,gin,123,gradinput,historical_full_partition,0.9400000000000001,94,0.08476960150889659,0.08533247383269196,1625,0.1,0.08501788191653958,0.9576176765857717,0.33552408255820115,0.3286465148796221,,0.9583333333333334,0.9091218677307263,-0.04849580885504534
bxaic__PAINS__gin__seed2026,bxaic,PAINS,gin,2026,atom_occlusion,fresh_full_partition,0.64,64,0.09727177804862967,0.09782696145696404,1625,0.1,0.09889701263593237,0.6571995997874068,0.4622232640806184,0.4371383192481264,0.0,0.6551724137931034,0.9091218677307263,0.2519222679433195
bxaic__PAINS__gin__seed2026,bxaic,PAINS,gin,2026,saliency,fresh_full_partition,0.72,72,0.0963260695273079,0.09688183455219906,1625,0.1,0.09334704261796306,0.7376837897989358,0.4148577902265399,0.3946438548160184,0.0,0.7368421052631579,0.9091218677307263,0.17143807793179056
bxaic__PAINS__gin__seed2026,bxaic,PAINS,gin,2026,ig,historical_full_partition,0.74,74,0.09810556224754842,0.09866023287347271,1625,0.1,0.09635292897676799,0.75809815428355,0.40198990142485685,0.38134996007020266,,0.7575757575757576,0.9091218677307263,0.15102371344717636
bxaic__PAINS__gin__seed2026,bxaic,PAINS,gin,2026,gradinput,historical_full_partition,0.9400000000000001,94,0.09200627964909937,0.0925647013713324,1625,0.1,0.08382610151860423,0.9576176765857717,0.33517638115298576,0.3282285973504502,,0.9583333333333334,0.9091218677307263,-0.04849580885504534
bxaic__PAINS__gin__seed42,bxaic,PAINS,gin,42,atom_occlusion,fresh_full_partition,0.56,56,0.09682674467709002,0.09738220178368487,1625,0.1,0.0987371107451727,0.5790848800081847,0.5229918895075018,0.4919348648631827,0.0,0.5769230769230769,0.8975096610559893,0.3184247810478046
bxaic__PAINS__gin__seed42,bxaic,PAINS,gin,42,saliency,fresh_full_partition,0.66,66,0.09798423713744028,0.09853898237905338,1625,0.1,0.09813684255239954,0.678699067501743,0.4473911315591695,0.42327783931047896,0.0,0.6785714285714286,0.8975096610559893,0.21881059355424626
bxaic__PAINS__gin__seed42,bxaic,PAINS,gin,42,ig,historical_full_partition,0.84,84,0.09750385411471385,0.09805889479484045,1625,0.1,0.10021768040983,0.8573713715364746,0.3568805125034744,0.34109078343254084,,0.8571428571428571,0.8975096610559893,0.0401382895195147
