cell_id,family,task,model,seed,method,fraction,index,empirical_risk,corrected_risk,n_calibration,alpha,risk,mean_atom_fraction,precision,iou,tie_inflation,median_atom_fraction
bxaic__X__gcn__seed2026,bxaic,X,gcn,2026,saliency,0.21,21,0.07416666666666667,0.08333333333333334,100,0.1,0.034333333333333334,0.22900064496800332,0.24873316498316494,0.24299110149110145,0.0,0.23076923076923078
bxaic__X__gcn__seed42,bxaic,X,gcn,42,atom_occlusion,0.06,6,0.04583333333333333,0.055280528052805276,100,0.1,0.04933333333333333,0.07912975034767791,0.6853333333333333,0.636,0.0,0.07692307692307693
bxaic__X__gcn__seed42,bxaic,X,gcn,42,saliency,0.22,22,0.08333333333333334,0.09240924092409242,100,0.1,0.057999999999999996,0.238986715889473,0.22727371000646862,0.22255942429218287,0.0,0.23809523809523808
bxaic__X__gin__seed123,bxaic,X,gin,123,atom_occlusion,0.06,6,0.04583333333333333,0.055280528052805276,100,0.1,0.04933333333333333,0.07912975034767791,0.6853333333333333,0.636,0.0,0.07692307692307693
bxaic__X__gin__seed123,bxaic,X,gin,123,saliency,0.26,26,0.08166666666666668,0.09075907590759077,100,0.1,0.063,0.27751511015259767,0.1933259293166414,0.1896159726066847,0.0,0.27622890682318413
bxaic__X__gin__seed2026,bxaic,X,gin,2026,atom_occlusion,0.06,6,0.04583333333333333,0.055280528052805276,100,0.1,0.04933333333333333,0.07912975034767791,0.6853333333333333,0.636,0.0,0.07692307692307693
bxaic__X__gin__seed2026,bxaic,X,gin,2026,saliency,0.27,27,0.0825,0.09158415841584158,100,0.1,0.035666666666666666,0.28743515517825036,0.19889166564429722,0.1943606411132727,0.0,0.2857142857142857
bxaic__X__gin__seed42,bxaic,X,gin,42,atom_occlusion,0.06,6,0.04583333333333333,0.055280528052805276,100,0.1,0.04933333333333333,0.07912975034767791,0.6853333333333333,0.636,0.0,0.07692307692307693
bxaic__X__gin__seed42,bxaic,X,gin,42,saliency,0.28,28,0.08666666666666668,0.09570957095709572,100,0.1,0.08,0.2976531465696942,0.17662707614023404,0.172595330108488,0.0,0.29520697167755994
google__benzene__gcn__seed123,google,benzene,gcn,123,atom_occlusion,0.46,46,0.0883888888888889,0.09741474147414743,100,0.1,0.10141666666666667,0.48809834176233424,0.6539956709956711,0.5987895862307627,0.0,0.48
google__benzene__gcn__seed123,google,benzene,gcn,123,saliency,0.48,48,0.0898888888888889,0.09889988998899886,100,0.1,0.09345833333333331,0.5035016582376657,0.6420378787878788,0.5921555119716885,0.0,0.5
google__benzene__gcn__seed2026,google,benzene,gcn,2026,atom_occlusion,0.44,44,0.08368055555555555,0.09275302530253025,100,0.1,0.11845833333333333,0.45961500842900094,0.6789130591630592,0.6114789622142563,0.0,0.4583333333333333
google__benzene__gcn__seed2026,google,benzene,gcn,2026,saliency,0.45,45,0.08951388888888888,0.09852860286028604,100,0.1,0.11183333333333331,0.46968167509566755,0.6713589466089465,0.608094807969808,0.0,0.47368421052631576
google__benzene__gcn__seed42,google,benzene,gcn,42,atom_occlusion,0.43,43,0.0905138888888889,0.09951870187018702,100,0.1,0.102625,0.4527128345159573,0.7012619047619046,0.6360632284382285,0.0,0.45227272727272727
google__benzene__gcn__seed42,google,benzene,gcn,42,saliency,0.41000000000000003,41,0.0893611111111111,0.09837733773377338,100,0.1,0.12024999999999998,0.4348783586203359,0.7160443722943722,0.6382264818514818,0.0,0.43478260869565216
google__benzene__gin__seed123,google,benzene,gin,123,atom_occlusion,0.37,37,0.08465277777777779,0.09371562156215618,100,0.1,0.10112499999999999,0.3945404704215782,0.794063492063492,0.7015166361416361,0.0,0.4
google__benzene__gin__seed123,google,benzene,gin,123,saliency,0.43,43,0.0869583333333333,0.0959983498349835,100,0.1,0.11937500000000002,0.4527128345159573,0.6900945165945164,0.6190042914601738,0.0,0.45227272727272727
google__benzene__gin__seed2026,google,benzene,gin,2026,atom_occlusion,0.46,46,0.09016666666666666,0.0991749174917492,100,0.1,0.09058333333333332,0.48809834176233424,0.6544426406926407,0.6021737346760566,0.0,0.48
