cell_id,family,task,model,seed,method,nominal_fraction,risk,mean_atom_fraction,precision,iou,tie_inflation,median_atom_fraction
bxaic__P__gin__seed42,bxaic,P,gin,42,saliency,0.5,0.0,0.5084178353449673,0.0860532702532166,0.0860532702532166,0.0,0.5
bxaic__P__gin__seed42,bxaic,P,gin,42,ig,0.2,0.0,0.21389022608176333,0.20367438499800047,0.20367438499800047,,0.21089696071163824
bxaic__P__gin__seed42,bxaic,P,gin,42,ig,0.5,0.0,0.5084178353449673,0.0860532702532166,0.0860532702532166,,0.5
bxaic__P__gin__seed42,bxaic,P,gin,42,gradinput,0.2,0.0,0.21389022608176333,0.20367438499800047,0.20367438499800047,,0.21089696071163824
bxaic__P__gin__seed42,bxaic,P,gin,42,gradinput,0.5,0.0,0.5084178353449673,0.0860532702532166,0.0860532702532166,,0.5
bxaic__PAINS__gcn__seed123,bxaic,PAINS,gcn,123,atom_occlusion,0.2,0.5848915018766053,0.21478501950888526,0.6058475952802646,0.3258122924204063,0.0,0.21428571428571427
bxaic__PAINS__gcn__seed123,bxaic,PAINS,gcn,123,atom_occlusion,0.5,0.3165669350098092,0.5087168007244234,0.4452306190156793,0.36760257913949573,0.0,0.5
bxaic__PAINS__gcn__seed123,bxaic,PAINS,gcn,123,saliency,0.2,0.7256457000340967,0.21478501950888526,0.3620400561646627,0.18179320930664353,0.0,0.21428571428571427
bxaic__PAINS__gcn__seed123,bxaic,PAINS,gcn,123,saliency,0.5,0.413314250144456,0.5087168007244234,0.3714632443453303,0.289237423236842,0.0,0.5
bxaic__PAINS__gcn__seed123,bxaic,PAINS,gcn,123,ig,0.2,0.6835458342234673,0.21478501950888526,0.42238383467128404,0.20900213551092608,,0.21428571428571427
bxaic__PAINS__gcn__seed123,bxaic,PAINS,gcn,123,ig,0.5,0.40766855812084307,0.5087168007244234,0.3755632774893731,0.2881375190080589,,0.5
bxaic__PAINS__gcn__seed123,bxaic,PAINS,gcn,123,gradinput,0.2,0.7280697017416949,0.21478501950888526,0.41771374357502583,0.1978367184413517,,0.21428571428571427
bxaic__PAINS__gcn__seed123,bxaic,PAINS,gcn,123,gradinput,0.5,0.44668032080968373,0.5087168007244234,0.3745641855333951,0.28797966918607587,,0.5
bxaic__PAINS__gcn__seed2026,bxaic,PAINS,gcn,2026,atom_occlusion,0.2,0.6045038780378448,0.21478501950888526,0.5572236300954448,0.2982901806598182,0.0,0.21428571428571427
bxaic__PAINS__gcn__seed2026,bxaic,PAINS,gcn,2026,atom_occlusion,0.5,0.31887326801128185,0.5087168007244234,0.4387886014997777,0.36154019306144103,0.0,0.5
bxaic__PAINS__gcn__seed2026,bxaic,PAINS,gcn,2026,saliency,0.2,0.7517877122347218,0.21478501950888526,0.36395786730470786,0.18676614543708123,0.0,0.21428571428571427
bxaic__PAINS__gcn__seed2026,bxaic,PAINS,gcn,2026,saliency,0.5,0.38656004236753827,0.5087168007244234,0.39011951084672025,0.31711439016960496,0.0,0.5
bxaic__PAINS__gcn__seed2026,bxaic,PAINS,gcn,2026,ig,0.2,0.6587230921610724,0.21478501950888526,0.46169929008350374,0.23287679758850077,,0.21428571428571427
bxaic__PAINS__gcn__seed2026,bxaic,PAINS,gcn,2026,ig,0.5,0.3847906348929984,0.5087168007244234,0.3900259992803936,0.3033360388129307,,0.5
bxaic__PAINS__gcn__seed2026,bxaic,PAINS,gcn,2026,gradinput,0.2,0.698561848178912,0.21478501950888526,0.43900054726298054,0.21182793102024214,,0.21428571428571427
bxaic__PAINS__gcn__seed2026,bxaic,PAINS,gcn,2026,gradinput,0.5,0.4521799891245991,0.5087168007244234,0.36098927753546683,0.27310827855022474,,0.5
bxaic__PAINS__gcn__seed42,bxaic,PAINS,gcn,42,atom_occlusion,0.2,0.5937652521458184,0.21478501950888526,0.5687019231406563,0.30029714827203924,0.0,0.21428571428571427
bxaic__PAINS__gcn__seed42,bxaic,PAINS,gcn,42,atom_occlusion,0.5,0.29543534550052764,0.5087168007244234,0.45310182296319723,0.37375719761107207,0.0,0.5
bxaic__PAINS__gcn__seed42,bxaic,PAINS,gcn,42,saliency,0.2,0.6725651784483435,0.21478501950888526,0.46100802377199246,0.24025555012092142,0.0,0.21428571428571427
bxaic__PAINS__gcn__seed42,bxaic,PAINS,gcn,42,saliency,0.5,0.34841107331033405,0.5087168007244234,0.413010132073172,0.33420435523382713,0.0,0.5
bxaic__PAINS__gcn__seed42,bxaic,PAINS,gcn,42,ig,0.2,0.7380470693190322,0.21478501950888526,0.40850452017024286,0.19263133377538066,,0.21428571428571427
bxaic__PAINS__gcn__seed42,bxaic,PAINS,gcn,42,ig,0.5,0.42966137361920786,0.5087168007244234,0.3908676030238364,0.30411573835204314,,0.5
bxaic__PAINS__gcn__seed42,bxaic,PAINS,gcn,42,gradinput,0.2,0.7555025152584035,0.21478501950888526,0.3722873680170936,0.17728755697813678,,0.21428571428571427
bxaic__PAINS__gcn__seed42,bxaic,PAINS,gcn,42,gradinput,0.5,0.4813722402160729,0.5087168007244234,0.343475985308564,0.261304107387467,,0.5
bxaic__PAINS__gin__seed123,bxaic,PAINS,gin,123,atom_occlusion,0.2,0.4362098234412914,0.21478501950888526,0.7955798113493147,0.4821631300064659,0.0,0.21428571428571427
bxaic__PAINS__gin__seed123,bxaic,PAINS,gin,123,atom_occlusion,0.5,0.14962198927035175,0.5087168007244234,0.5513315965366451,0.4992348564412404,0.0,0.5
