cell_id,target,method,policy,alpha,rule,q,lambda,empirical_calibration_risk,corrected_calibration_risk,fallback_full,n_calibration,n_test,risk,mean_atom_fraction,precision,iou,full_molecule_fraction
liver__gcn__seed123,observed_class,gradinput,include_all_exact_ties_v2,0.05,naive,95,0.9500000000000001,0.04985667926844397,0.0778020710546662,False,33,31,0.08576548899129544,0.9738696534249016,0.268666070907494,0.2659569001417424,0.3548387096774194
liver__gcn__seed123,observed_class,gradinput,include_all_exact_ties_v2,0.1,corrected,95,0.9500000000000001,0.04985667926844397,0.0778020710546662,False,33,31,0.08576548899129544,0.9738696534249016,0.268666070907494,0.2659569001417424,0.3548387096774194
liver__gcn__seed123,observed_class,gradinput,include_all_exact_ties_v2,0.1,naive,91,0.91,0.09237995120348061,0.11907465852102529,False,33,31,0.1673067076292883,0.9442794668961555,0.2617248376450215,0.2571040337084217,0.0967741935483871
liver__gcn__seed123,observed_class,gradinput,include_all_exact_ties_v2,0.2,corrected,88,0.88,0.1483453365806307,0.17339400315178863,False,33,31,0.23635235732009927,0.9140430307278403,0.2568115837535158,0.2493986553737757,0.06451612903225806
liver__gcn__seed123,observed_class,gradinput,include_all_exact_ties_v2,0.2,naive,85,0.85,0.19387301152007042,0.21758262882830362,False,33,31,0.30140021269053524,0.8762185336404604,0.25511969910577437,0.24305084334637259,0.0
liver__gcn__seed123,observed_class,ig,index_tiebreak_v1,0.05,corrected,98,0.98,0.0,0.029411764705882353,False,33,31,0.0,1.0,0.2706459829621886,0.2706459829621886,1.0
liver__gcn__seed123,observed_class,ig,index_tiebreak_v1,0.05,naive,95,0.9500000000000001,0.04985667926844397,0.0778020710546662,False,33,31,0.05598881405333018,0.9738696534249016,0.26920370531609616,0.2660783014598138,0.3548387096774194
liver__gcn__seed123,observed_class,ig,index_tiebreak_v1,0.1,corrected,93,0.93,0.06787014728191199,0.09528573118538516,False,33,31,0.1176099885777305,0.9554825612409047,0.26506107333996753,0.26115745763760634,0.12903225806451613
liver__gcn__seed123,observed_class,ig,index_tiebreak_v1,0.1,naive,89,0.89,0.0989890284007931,0.12548935109488743,False,33,31,0.2079837724999016,0.9199599374467046,0.26187192551281735,0.2548523701606638,0.06451612903225806
liver__gcn__seed123,observed_class,ig,index_tiebreak_v1,0.2,corrected,88,0.88,0.14478027419203893,0.16993379553933188,False,33,31,0.24024183701603063,0.9067384790260051,0.25937949738591654,0.2517083732336663,0.03225806451612903
liver__gcn__seed123,observed_class,ig,index_tiebreak_v1,0.2,naive,86,0.86,0.1943483531718826,0.21804398984329781,False,33,31,0.24520461617235814,0.886507898753899,0.26223977293163203,0.2523355168882617,0.03225806451612903
liver__gcn__seed123,observed_class,ig,include_all_exact_ties_v2,0.05,corrected,98,0.98,0.0,0.029411764705882353,False,33,31,0.0,1.0,0.2706459829621886,0.2706459829621886,1.0
liver__gcn__seed123,observed_class,ig,include_all_exact_ties_v2,0.05,naive,95,0.9500000000000001,0.04985667926844397,0.0778020710546662,False,33,31,0.05598881405333018,0.9738696534249016,0.26920370531609616,0.2660783014598138,0.3548387096774194
liver__gcn__seed123,observed_class,ig,include_all_exact_ties_v2,0.1,corrected,92,0.92,0.07165802606979077,0.09896220177362046,False,33,31,0.126570562054433,0.9510583355263564,0.2632987993026511,0.25883726509670074,0.12903225806451613
liver__gcn__seed123,observed_class,ig,include_all_exact_ties_v2,0.1,naive,89,0.89,0.09292842234018704,0.11960699815371095,False,33,31,0.20567962503446377,0.9237233783069196,0.2621306368071823,0.2561580537244119,0.0967741935483871
liver__gcn__seed123,observed_class,ig,include_all_exact_ties_v2,0.2,corrected,86,0.86,0.16529309470485942,0.1898432978017753,False,33,31,0.23214778053487733,0.8890424609658806,0.26374873198378895,0.2549564846301972,0.03225806451612903
liver__gcn__seed123,observed_class,ig,include_all_exact_ties_v2,0.2,naive,85,0.85,0.18449986832339776,0.20848516631388606,False,33,31,0.2481980385206192,0.8752517116912604,0.2617869879101599,0.24929515388397683,0.0
liver__gcn__seed123,observed_class,saliency,index_tiebreak_v1,0.05,corrected,95,0.9500000000000001,0.02117702558879029,0.04996593660088469,False,33,31,0.03672850447043995,0.9738696534249016,0.26672380667459344,0.2620130313279664,0.3548387096774194
liver__gcn__seed123,observed_class,saliency,index_tiebreak_v1,0.05,naive,92,0.92,0.04487930370283311,0.0729710888880439,False,33,31,0.041691283626767495,0.9472535381731719,0.2698594525702707,0.2642543135812446,0.0967741935483871
liver__gcn__seed123,observed_class,saliency,index_tiebreak_v1,0.1,corrected,91,0.91,0.06435982318335258,0.09187865191325398,False,33,31,0.04954901729095277,0.939553010556796,0.2692376894572734,0.26264061346649265,0.06451612903225806
liver__gcn__seed123,observed_class,saliency,index_tiebreak_v1,0.1,naive,90,0.9,0.0760491142844084,0.10322414033486697,False,33,31,0.06160148095631966,0.9252950000969127,0.269187165153523,0.260324864455963,0.06451612903225806
liver__gcn__seed123,observed_class,saliency,index_tiebreak_v1,0.2,corrected,78,0.78,0.17055847202906033,0.19495381108702914,False,33,31,0.13313836700933476,0.8107047035470187,0.27555036503031494,0.25668696770594945,0.0
