dataset,seed,method,proxy,evaluation_split,stratum,policy,aggregation,n_pairs,n_components,nominal_fraction,risk,retained_fraction,precision,iou,calibration_unit,calibration_empirical_risk,calibration_corrected_risk
CHEMBL204_Ki,17,atom_occlusion,variable_only_symmetry_closed,test,correct_direction,random_same_nominal_size,component_weighted,11,5,0.93,0.0610566800888845,0.9389433199111157,0.16359942249046427,0.1617511200887629,none,,
CHEMBL204_Ki,17,atom_occlusion,variable_only_symmetry_closed,test,direction_error,random_same_nominal_size,pair_weighted,29,9,0.93,0.06246656701400348,0.9375334329859963,0.1793578430224256,0.1764501403920666,none,,
CHEMBL204_Ki,17,atom_occlusion,variable_only_symmetry_closed,test,direction_error,random_same_nominal_size,component_weighted,29,9,0.93,0.06249364563393172,0.9375063543660684,0.19494407584304377,0.19193059485709635,none,,
CHEMBL204_Ki,17,atom_occlusion,variable_only_symmetry_closed,calibration,all,component_crc_cluster_stress_test,pair_weighted,59,13,0.93,0.07577218300115399,0.940199088700779,0.18625653738635256,0.18392990956340674,components,0.029356526830486056,0.09868820348545133
CHEMBL204_Ki,17,atom_occlusion,variable_only_symmetry_closed,calibration,all,component_crc_cluster_stress_test,component_weighted,59,13,0.93,0.029356526830486056,0.94097721661216,0.20389656752941265,0.20293561562511928,components,0.029356526830486056,0.09868820348545133
CHEMBL204_Ki,17,atom_occlusion,variable_only_symmetry_closed,test,all,component_crc_cluster_stress_test,pair_weighted,40,10,0.93,0.04603243077787515,0.9408455758269447,0.17218627756498198,0.17010796799208655,components,0.029356526830486056,0.09868820348545133
CHEMBL204_Ki,17,atom_occlusion,variable_only_symmetry_closed,test,all,component_crc_cluster_stress_test,component_weighted,40,10,0.93,0.06612128584573221,0.9395816433918851,0.19088024902947065,0.18822343561856872,components,0.029356526830486056,0.09868820348545133
CHEMBL204_Ki,17,atom_occlusion,variable_only_symmetry_closed,test,correct_direction,component_crc_cluster_stress_test,pair_weighted,11,5,0.93,0.0677050222504768,0.9384769640006195,0.14923782946215616,0.14804199265681667,components,0.029356526830486056,0.09868820348545133
CHEMBL204_Ki,17,atom_occlusion,variable_only_symmetry_closed,test,correct_direction,component_crc_cluster_stress_test,component_weighted,11,5,0.93,0.07268842268842268,0.9393354767738608,0.16298861439194232,0.16144969800084566,components,0.029356526830486056,0.09868820348545133
CHEMBL204_Ki,17,atom_occlusion,variable_only_symmetry_closed,test,direction_error,component_crc_cluster_stress_test,pair_weighted,29,9,0.93,0.03781179263309522,0.9417440147955507,0.1808908613281228,0.17847782070546475,components,0.029356526830486056,0.09868820348545133
CHEMBL204_Ki,17,atom_occlusion,variable_only_symmetry_closed,test,direction_error,component_crc_cluster_stress_test,component_weighted,29,9,0.93,0.06473063225558608,0.9391789563014689,0.1925668357946671,0.18956625366622382,components,0.029356526830486056,0.09868820348545133
CHEMBL204_Ki,17,atom_occlusion,variable_only_symmetry_closed,matched_noncliff_control,descriptive_only,component_crc_cluster_stress_test,pair_weighted,40,12,0.93,0.12249960078284886,0.9421090665269933,0.16631463310251193,0.16464308527896226,components,0.029356526830486056,0.09868820348545133
CHEMBL204_Ki,17,atom_occlusion,variable_only_symmetry_closed,matched_noncliff_control,descriptive_only,component_crc_cluster_stress_test,component_weighted,40,12,0.93,0.07383636657933333,0.9412207115238065,0.1885726593519205,0.1868983796249254,components,0.029356526830486056,0.09868820348545133
CHEMBL204_Ki,17,atom_occlusion,one_hop_expanded_symmetry_closed,calibration,all,pair_crc_descriptive,pair_weighted,59,13,0.93,0.07985707330641637,0.940199088700779,0.25114932411148794,0.2452298814626149,pairs,0.07985707330641637,0.09519278875130938
CHEMBL204_Ki,17,atom_occlusion,one_hop_expanded_symmetry_closed,calibration,all,pair_crc_descriptive,component_weighted,59,13,0.93,0.038600180079037066,0.94097721661216,0.27613135670202843,0.2729796322200928,pairs,0.07985707330641637,0.09519278875130938
